,ORI,YEAR,MRD,CLR,State,County,Agency
45,AK00101,2010,13,10,Alaska,"Anchorage, AK",Anchorage
46,AK00101,2011,12,13,Alaska,"Anchorage, AK",Anchorage
47,AK00101,2012,15,12,Alaska,"Anchorage, AK",Anchorage
48,AK00101,2013,14,12,Alaska,"Anchorage, AK",Anchorage
49,AK00101,2014,12,9,Alaska,"Anchorage, AK",Anchorage
50,AK00101,2015,26,21,Alaska,"Anchorage, AK",Anchorage
51,AK00101,2016,28,20,Alaska,"Anchorage, AK",Anchorage
52,AK00101,2017,27,28,Alaska,"Anchorage, AK",Anchorage
53,AK00101,2018,26,14,Alaska,"Anchorage, AK",Anchorage
54,AK00101,2019,32,21,Alaska,"Anchorage, AK",Anchorage
92,AK00102,2011,2,2,Alaska,"Fairbanks North Star, AK",Fairbanks
93,AK00102,2012,3,3,Alaska,"Fairbanks North Star, AK",Fairbanks
94,AK00102,2014,4,4,Alaska,"Fairbanks North Star, AK",Fairbanks
95,AK00102,2015,1,1,Alaska,"Fairbanks North Star, AK",Fairbanks
96,AK00102,2016,7,2,Alaska,"Fairbanks North Star, AK",Fairbanks
97,AK00102,2017,10,6,Alaska,"Fairbanks North Star, AK",Fairbanks
98,AK00102,2018,4,8,Alaska,"Fairbanks North Star, AK",Fairbanks
99,AK00102,2019,3,2,Alaska,"Fairbanks North Star, AK",Fairbanks
114,AK00103,2010,1,1,Alaska,"Juneau, AK",Juneau
115,AK00103,2014,1,0,Alaska,"Juneau, AK",Juneau
116,AK00103,2015,4,2,Alaska,"Juneau, AK",Juneau
117,AK00103,2016,0,1,Alaska,"Juneau, AK",Juneau
118,AK00103,2017,1,3,Alaska,"Juneau, AK",Juneau
119,AK00103,2018,1,1,Alaska,"Juneau, AK",Juneau
120,AK00103,2019,3,2,Alaska,"Juneau, AK",Juneau
139,AK00104,2015,1,1,Alaska,"Ketchikan Gateway, AK",Ketchikan
140,AK00104,2017,1,1,Alaska,"Ketchikan Gateway, AK",Ketchikan
141,AK00104,2018,1,1,Alaska,"Ketchikan Gateway, AK",Ketchikan
153,AK00105,2010,0,1,Alaska,"Kodiak Island, AK",Kodiak
154,AK00105,2016,1,1,Alaska,"Kodiak Island, AK",Kodiak
167,AK00106,2011,1,1,Alaska,"Nome, AK",Nome
180,AK00109,2017,1,1,Alaska,"Sitka, AK",Sitka
210,AK00113,2010,2,2,Alaska,"Bethel, AK",Bethel
211,AK00113,2011,1,0,Alaska,"Bethel, AK",Bethel
212,AK00113,2012,1,1,Alaska,"Bethel, AK",Bethel
213,AK00113,2015,2,2,Alaska,"Bethel, AK",Bethel
214,AK00113,2017,1,1,Alaska,"Bethel, AK",Bethel
215,AK00113,2019,1,1,Alaska,"Bethel, AK",Bethel
223,AK00116,2011,1,1,Alaska,"Northwest Arctic, AK",Kotzebue
224,AK00116,2016,1,1,Alaska,"Northwest Arctic, AK",Kotzebue
225,AK00116,2018,1,1,Alaska,"Northwest Arctic, AK",Kotzebue
228,AK00117,2017,1,1,Alaska,"Matanuska-Susitna, AK",Palmer
229,AK00117,2019,1,1,Alaska,"Matanuska-Susitna, AK",Palmer
243,AK00118,2012,1,1,Alaska,"North Slope, AK",North Slope Borough
244,AK00118,2014,1,1,Alaska,"North Slope, AK",North Slope Borough
245,AK00118,2017,2,0,Alaska,"North Slope, AK",North Slope Borough
246,AK00118,2018,1,1,Alaska,"North Slope, AK",North Slope Borough
247,AK00118,2019,2,1,Alaska,"North Slope, AK",North Slope Borough
256,AK00122,2016,0,1,Alaska,"Kenai Peninsula, AK",Homer
265,AK00123,2015,3,3,Alaska,"Kenai Peninsula, AK",Kenai
266,AK00123,2018,1,1,Alaska,"Kenai Peninsula, AK",Kenai
267,AK00123,2019,2,2,Alaska,"Kenai Peninsula, AK",Kenai
271,AK00125,2012,1,0,Alaska,"Prince of Wales-Outer Ketchikan, AK",Metlakatla Tribal
282,AK00130,2019,1,1,Alaska,"Dillingham, AK",Dillingham
284,AK00133,2012,1,1,Alaska,"Aleutians West, AK",Unalaska
285,AK00133,2014,1,1,Alaska,"Aleutians West, AK",Unalaska
291,AK00146,2013,1,1,Alaska,"Bristol Bay, AK",Bristol Bay Borough
303,AK00156,2011,1,1,Alaska,"Matanuska-Susitna, AK",Wasilla
