ORI,YEAR,MRD,CLR,State,County,Agency
AL02100,2018,1,0,Alabama,"Conecuh, AL",Conecuh County
IA05700,2012,1,0,Iowa,"Linn, IA",Linn County
MO00900,2014,1,1,Missouri,"Bollinger, MO",Bollinger County
CO00108,2017,1,0,Colorado,"Adams, CO",Federal Heights
PA00264,2018,1,1,Pennsylvania,"Allegheny, PA",East Pittsburgh
TX23708,2015,2,1,Texas,"Waller, TX",Prairie View
NJ003SP,2018,1,1,New Jersey,"Burlington, NJ",State Police: Burlington County
CA01506,2015,1,1,California,"Kern, CA",Ridgecrest
NY02754,2014,1,1,New York,"Monroe, NY",Greece Town
AL02002,2016,1,1,Alabama,"Colbert, AL",Tuscumbia
MI18313,2017,1,1,Michigan,"Clare, MI",Clare
CT00094,2012,1,1,Connecticut,"Hartford, CT",Newington
WY02101,2016,2,0,Wyoming,"Uinta, WY",Evanston
MN02000,2018,1,1,Minnesota,"Dodge, MN",Dodge County
SC00801,2016,1,1,South Carolina,"Berkeley, SC",Moncks Corner
WI03008,2017,1,1,Wisconsin,"Kenosha, WI",Pleasant Prairie
NJ00706,2017,9,5,New Jersey,"Essex, NJ",East Orange
FL05905,2019,2,0,Florida,"Seminole, FL",Sanford
LA05501,2013,5,5,Louisiana,"Terrebonne, LA",Houma
IL02227,2010,3,0,Illinois,"DuPage, IL",Darien
NY03301,2011,11,8,New York,"Onondaga, NY",Syracuse
TX11701,2016,0,1,Texas,"Hutchinson, TX",Borger
VTVSP02,2019,1,0,Vermont,"Bennington, VT",State Police: St. Johnsbury
FL05902,2011,1,0,Florida,"Seminole, FL",Casselberry
NM02501,2013,3,1,New Mexico,"San Miguel, NM",Las Vegas
SC00805,2015,1,0,South Carolina,"Berkeley, SC",St. Stephen
TN09501,2013,2,1,Tennessee,"Wilson, TN",Lebanon
TX08200,2018,2,2,Texas,"Frio, TX",Frio County
IN08201,2015,4,5,Indiana,"Vanderburgh, IN",Evansville
CT00101,2011,0,1,Connecticut,"New Haven, CT",North Haven
MS03402,2015,4,3,Mississippi,"Jones, MS",Laurel
NC04100,2014,1,1,North Carolina,"Guilford, NC",Guilford County
MS07501,2010,2,1,Mississippi,"Warren, MS",Vicksburg
FL05025,2017,1,0,Florida,"Palm Beach, FL",Pahokee
NJ01303,2012,3,1,New Jersey,"Monmouth, NJ",Asbury Park
NH00116,2013,1,1,New Hampshire,"Belknap, NH",Meredith
WI06300,2019,1,1,Wisconsin,"Vernon, WI",Vernon County
NY05900,2014,1,1,New York,"Westchester, NY",Westchester Public Safety
TX24609,2010,2,2,Texas,"Williamson, TX",Cedar Park
IL09913,2018,1,0,Illinois,"Will, IL",Romeoville
OH00902,2012,3,3,Ohio,"Butler, OH",Hamilton
GA09900,2015,2,0,Georgia,"Meriwether, GA",Meriwether County
GA07701,2010,1,0,Georgia,"Irwin, GA",Ocilla
CA02100,2016,3,1,California,"Marin, CA",Marin County
NY01301,2019,1,1,New York,"Dutchess, NY",Beacon
MN02711,2015,47,24,Minnesota,"Hennepin, MN",Minneapolis
PA04013,2016,3,2,Pennsylvania,"Luzerne, PA",Wilkes-Barre
NJ00610,2018,3,1,New Jersey,"Cumberland, NJ",Millville
SC03900,2019,4,4,South Carolina,"Pickens, SC",Pickens County
AL03800,2019,1,1,Alabama,"Houston, AL",Houston County
NJ00437,2017,1,0,New Jersey,"Camden, NJ",Woodlynne
