ID,CNTYFIPS,Ori,State,Agency,Agentype,Solved,Year,Month,Homicide,Situation,VicAge,VicSex,VicRace,VicEthnic,OffAge,OffSex,OffRace,OffEthnic,Weapon,Relationship,Circumstance,Subcircum,VicCount,OffCount,MSA
201904001LA02600,"Jefferson, LA",LA02600,Louisiana,Jefferson County,Sheriff,Yes,2019,April,Murder and non-negligent manslaughter,Single victim/single offender,50.0,Male,Black,Not of Hispanic origin,43.0,Male,Black,Not of Hispanic origin,"Firearm, type not stated",Acquaintance,Other arguments,,0,0,"New Orleans-Metairie-Kenner, LA"
201907002VA11100,"Hampton, VA",VA11100,Virginia,Hampton,Municipal police,Yes,2019,July,Murder and non-negligent manslaughter,Single victim/multiple offenders,17.0,Male,Black,Not of Hispanic origin,38.0,Male,Black,Not of Hispanic origin,"Firearm, type not stated",Other - known to victim,Circumstances undetermined,,0,1,"Virginia Beach-Norfolk-Newport News, VA-NC"
201703002TX01500,"Bexar, TX",TX01500,Texas,Bexar County,Sheriff,Yes,2017,March,Murder and non-negligent manslaughter,Single victim/multiple offenders,29.0,Male,White,Not of Hispanic origin,20.0,Male,White,Hispanic origin,"Firearm, type not stated",Stranger,Other arguments,,0,1,"San Antonio, TX"
201910008MI82349,"Wayne, MI",MI82349,Michigan,Detroit,Municipal police,Yes,2019,October,Murder and non-negligent manslaughter,Single victim/multiple offenders,51.0,Male,White,Unknown or not reported,24.0,Male,Black,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Circumstances undetermined,,0,2,"Detroit-Warren-Livonia, MI"
201012002CA01900,"Los Angeles, CA",CA01900,California,Los Angeles County,Sheriff,No,2010,December,Murder and non-negligent manslaughter,Single victim/unknown offender(s),26.0,Male,Black,Not of Hispanic origin,,Unknown,Unknown,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Juvenile gang killings,,0,0,"Los Angeles-Long Beach, CA"
201011001TX15512,"McLennan, TX",TX15512,Texas,Waco,Municipal police,Yes,2010,November,Murder and non-negligent manslaughter,Single victim/single offender,23.0,Male,Black,Not of Hispanic origin,24.0,Male,Black,Not of Hispanic origin,"Handgun - pistol, revolver, etc",Acquaintance,Other arguments,,0,0,"Waco, TX"
201502278AL02906,"Elmore, AL",AL02906,Alabama,Millbrook,Municipal police,Yes,2015,February,Murder and non-negligent manslaughter,Single victim/single offender,30.0,Female,Black,Unknown or not reported,,Unknown,Unknown,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Felon killed by police,,0,0,"Montgomery, AL"
201108299FL04800,"Orange, FL",FL04800,Florida,Orange County,Sheriff,Yes,2011,August,Murder and non-negligent manslaughter,Single victim/single offender,36.0,Male,Black,Unknown or not reported,25.0,Male,Black,Unknown or not reported,"Firearm, type not stated",Relationship not determined,Other - not specified,,0,0,"Orlando-Kissimmee, FL"
201111001OH00902,"Butler, OH",OH00902,Ohio,Hamilton,Municipal police,Yes,2011,November,Murder and non-negligent manslaughter,Single victim/single offender,27.0,Male,Black,Unknown or not reported,25.0,Male,Black,Unknown or not reported,"Handgun - pistol, revolver, etc",Acquaintance,Circumstances undetermined,,0,0,"Cincinnati-Middletown, OH-KY-IN"
201901002MN02711,"Hennepin, MN",MN02711,Minnesota,Minneapolis,Municipal police,Yes,2019,January,Murder and non-negligent manslaughter,Single victim/single offender,33.0,Male,Black,Not of Hispanic origin,29.0,Male,Black,Not of Hispanic origin,Other or type unknown,Acquaintance,Other arguments,,0,0,"Minneapolis-St. Paul-Bloomington, MN-WI"
