ORI,State,County,Agency
AK00101,Alaska,"Anchorage, AK",Anchorage
AK00102,Alaska,"Fairbanks North Star, AK",Fairbanks
AK00103,Alaska,"Juneau, AK",Juneau
AK00104,Alaska,"Ketchikan Gateway, AK",Ketchikan
AK00105,Alaska,"Kodiak Island, AK",Kodiak
AK00106,Alaska,"Nome, AK",Nome
AK00109,Alaska,"Sitka, AK",Sitka
AK00113,Alaska,"Bethel, AK",Bethel
AK00116,Alaska,"Northwest Arctic, AK",Kotzebue
AK00117,Alaska,"Matanuska-Susitna, AK",Palmer
AK00118,Alaska,"North Slope, AK",North Slope Borough
AK00122,Alaska,"Kenai Peninsula, AK",Homer
AK00123,Alaska,"Kenai Peninsula, AK",Kenai
AK00125,Alaska,"Prince of Wales-Outer Ketchikan, AK",Metlakatla Tribal
AK00130,Alaska,"Dillingham, AK",Dillingham
AK00133,Alaska,"Aleutians West, AK",Unalaska
AK00146,Alaska,"Bristol Bay, AK",Bristol Bay Borough
AK00156,Alaska,"Matanuska-Susitna, AK",Wasilla
AKASP00,Alaska,"Juneau, AK",State Troopers
AKAST01,Alaska,"Anchorage, AK",Alaska State Troopers
AL00100,Alabama,"Jefferson, AL",Jefferson County
AL00101,Alabama,"Jefferson, AL",Bessemer
AL00102,Alabama,"Jefferson, AL",Birmingham
AL00103,Alabama,"Jefferson, AL",Mountain Brook
AL00104,Alabama,"Jefferson, AL",Fairfield
AL00105,Alabama,"Jefferson, AL",Gardendale
AL00106,Alabama,"Jefferson, AL",Leeds
AL00107,Alabama,"Jefferson, AL",Midfield
AL00108,Alabama,"Jefferson, AL",Tarrant City
AL00109,Alabama,"Jefferson, AL",Vestavia Hills
AL00110,Alabama,"Jefferson, AL",Homewood
AL00111,Alabama,"Jefferson, AL",Fultondale
AL00112,Alabama,"Jefferson, AL",Hoover
AL00113,Alabama,"Jefferson, AL",Irondale
AL00114,Alabama,"Jefferson, AL",Pleasant Grove
AL00118,Alabama,"Jefferson, AL",Brighton
AL00119,Alabama,"Jefferson, AL",Hueytown
AL00120,Alabama,"Jefferson, AL",Lipscomb
AL00122,Alabama,"Jefferson, AL",Adamsville
AL00126,Alabama,"Jefferson, AL",Morris
AL00129,Alabama,"Jefferson, AL",Kimberly
AL00200,Alabama,"Mobile, AL",Mobile County
AL00201,Alabama,"Mobile, AL",Mobile
AL00202,Alabama,"Mobile, AL",Prichard
AL00203,Alabama,"Mobile, AL",Chickasaw
AL00204,Alabama,"Mobile, AL",Citronelle
AL00205,Alabama,"Mobile, AL",Saraland
AL00206,Alabama,"Mobile, AL",Bayou La Batre
AL00207,Alabama,"Mobile, AL",Satsuma
AL00208,Alabama,"Mobile, AL",Mount Vernon
AL00212,Alabama,"Mobile, AL",Creola
AL00214,Alabama,"Mobile, AL",Univ Of South Alabama
AL00300,Alabama,"Montgomery, AL",Montgomery County
AL00301,Alabama,"Montgomery, AL",Montgomery
AL00314,Alabama,"Montgomery, AL",State Fire Marshal
AL00332,Alabama,"Montgomery, AL",Alabama Dept of Corrections
AL00400,Alabama,"Autauga, AL",Autauga County
AL00401,Alabama,"Autauga, AL",Prattville
AL00500,Alabama,"Baldwin, AL",Baldwin County
AL00501,Alabama,"Baldwin, AL",Bay Minette
AL00502,Alabama,"Baldwin, AL",Fairhope
AL00503,Alabama,"Baldwin, AL",Foley
AL00504,Alabama,"Baldwin, AL",Gulf Shores
AL00505,Alabama,"Baldwin, AL",Robertsdale
AL00506,Alabama,"Baldwin, AL",Loxley
AL00508,Alabama,"Baldwin, AL",Daphne
AL00509,Alabama,"Baldwin, AL",Summerdale
AL00510,Alabama,"Baldwin, AL",Elberta
AL00512,Alabama,"Baldwin, AL",Orange Beach
AL00600,Alabama,"Barbour, AL",Barbour County
AL00601,Alabama,"Barbour, AL",Eufaula
AL00701,Alabama,"Bibb, AL",Centreville
AL00702,Alabama,"Bibb, AL",Brent
AL00704,Alabama,"Bibb, AL",Woodstock
AL00800,Alabama,"Blount, AL",Blount County
AL00802,Alabama,"Blount, AL",Blountsville
AL00901,Alabama,"Bullock, AL",Union Springs
AL01000,Alabama,"Butler, AL",Butler County
AL01001,Alabama,"Butler, AL",Greenville
AL01002,Alabama,"Butler, AL",Georgiana
AL01101,Alabama,"Calhoun, AL",Anniston
AL01102,Alabama,"Calhoun, AL",Jacksonville
AL01103,Alabama,"Calhoun, AL",Piedmont
AL01104,Alabama,"Calhoun, AL",Weaver
AL01105,Alabama,"Calhoun, AL",Oxford
AL01201,Alabama,"Chambers, AL",Lafayette
AL01202,Alabama,"Chambers, AL",Lanett
AL01204,Alabama,"Chambers, AL",Valley
AL01300,Alabama,"Cherokee, AL",Cherokee County
AL01301,Alabama,"Cherokee, AL",Centre
AL01302,Alabama,"Cherokee, AL",Cedar Bluff
AL01303,Alabama,"Cherokee, AL",Leesburg
AL01400,Alabama,"Chilton, AL",Chilton County
AL01401,Alabama,"Chilton, AL",Clanton
AL01403,Alabama,"Chilton, AL",Jemison
AL01500,Alabama,"Choctaw, AL",Choctaw County
AL01501,Alabama,"Choctaw, AL",Butler
AL01600,Alabama,"Clarke, AL",Clarke County
AL01601,Alabama,"Clarke, AL",Jackson
AL01602,Alabama,"Clarke, AL",Thomasville
AL01900,Alabama,"Coffee, AL",Coffee County
AL01901,Alabama,"Coffee, AL",Elba
AL01902,Alabama,"Coffee, AL",Enterprise
AL01903,Alabama,"Coffee, AL",New Brockton
AL02000,Alabama,"Colbert, AL",Colbert County
AL02001,Alabama,"Colbert, AL",Sheffield
AL02002,Alabama,"Colbert, AL",Tuscumbia
AL02003,Alabama,"Colbert, AL",Muscle Shoals
AL02004,Alabama,"Colbert, AL",Cherokee
AL02100,Alabama,"Conecuh, AL",Conecuh County
AL02101,Alabama,"Conecuh, AL",Evergreen
AL02200,Alabama,"Coosa, AL",Coosa County
AL02300,Alabama,"Covington, AL",Covington County
AL02301,Alabama,"Covington, AL",Andalusia
AL02302,Alabama,"Covington, AL",Opp
AL02303,Alabama,"Covington, AL",Florala
AL02400,Alabama,"Crenshaw, AL",Crenshaw County
AL02500,Alabama,"Cullman, AL",Cullman County
AL02501,Alabama,"Cullman, AL",Cullman
AL02600,Alabama,"Dale, AL",Dale County
AL02601,Alabama,"Dale, AL",Ozark
AL02602,Alabama,"Dale, AL",Daleville
AL02700,Alabama,"Dallas, AL",Dallas County
AL02701,Alabama,"Dallas, AL",Selma
AL02800,Alabama,"De Kalb, AL",De Kalb County
AL02801,Alabama,"De Kalb, AL",Fort Payne
AL02900,Alabama,"Elmore, AL",Elmore County
AL02901,Alabama,"Elmore, AL",Wetumpka
AL02902,Alabama,"Elmore, AL",Tallassee
AL02906,Alabama,"Elmore, AL",Millbrook
AL03000,Alabama,"Escambia, AL",Escambia County
AL03001,Alabama,"Escambia, AL",Atmore
AL03002,Alabama,"Escambia, AL",Brewton
AL03003,Alabama,"Escambia, AL",East Brewton
AL03004,Alabama,"Escambia, AL",Flomaton
AL03100,Alabama,"Etowah, AL",Etowah County
AL03102,Alabama,"Etowah, AL",Gadsden
AL03104,Alabama,"Etowah, AL",Glencoe
AL03105,Alabama,"Etowah, AL",Rainbow City
AL03106,Alabama,"Etowah, AL",Hokes Bluff
AL03107,Alabama,"Etowah, AL",Southside
AL03200,Alabama,"Fayette, AL",Fayette County
AL03300,Alabama,"Franklin, AL",Franklin County
AL03301,Alabama,"Franklin, AL",Russellville
AL03400,Alabama,"Geneva, AL",Geneva County
AL03401,Alabama,"Geneva, AL",Geneva
AL03402,Alabama,"Geneva, AL",Samson
AL03500,Alabama,"Greene, AL",Greene County
AL03501,Alabama,"Greene, AL",Eutaw
AL03700,Alabama,"Henry, AL",Henry County
AL03701,Alabama,"Henry, AL",Abbeville
AL03702,Alabama,"Henry, AL",Headland
AL03800,Alabama,"Houston, AL",Houston County
AL03801,Alabama,"Houston, AL",Dothan
AL03900,Alabama,"Jackson, AL",Jackson County
AL03901,Alabama,"Jackson, AL",Scottsboro
AL04100,Alabama,"Lauderdale, AL",Lauderdale County
AL04101,Alabama,"Lauderdale, AL",Florence
AL04106,Alabama,"Lauderdale, AL",Rogersville
AL04200,Alabama,"Lawrence, AL",Lawrence County
AL04300,Alabama,"Lee, AL",Lee County
AL04301,Alabama,"Lee, AL",Auburn
AL04302,Alabama,"Lee, AL",Opelika
AL04400,Alabama,"Limestone, AL",Limestone County
AL04401,Alabama,"Limestone, AL",Athens
AL04500,Alabama,"Lowndes, AL",Lowndes County
AL04502,Alabama,"Lowndes, AL",Hayneville
AL04600,Alabama,"Macon, AL",Macon County
AL04601,Alabama,"Macon, AL",Tuskegee
